sensors/imu,2014-11-23 06:07:55,13.31,-22.53,249.86,77.33,-16.33,61.83,7.85,-2.83,-5.17
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,249.86,77.17,-16.5,61.67,7.85,-2.85,-5.17
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,249.86,76.83,-16.5,62.17,7.85,-2.85,-5.17
sensors/imu,2014-11-23 06:07:55,12.29,-21.5,250.88,77.0,-16.83,62.17,7.85,-2.84,-5.17
sensors/imu,2014-11-23 06:07:55,13.31,-22.53,248.83,77.0,-16.5,61.83,7.85,-2.84,-5.14
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,248.83,76.67,-16.33,62.17,7.85,-2.86,-5.14
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,250.88,76.83,-17.0,61.83,7.85,-2.85,-5.14
sensors/imu,2014-11-23 06:07:55,13.31,-22.53,249.86,77.0,-16.5,62.17,7.86,-2.85,-5.14
sensors/imu,2014-11-23 06:07:55,12.29,-23.55,251.9,77.0,-16.5,62.17,7.85,-2.87,-5.14
sensors/imu,2014-11-23 06:07:55,11.26,-22.53,249.86,76.83,-16.67,62.17,7.85,-2.86,-5.16
sensors/imu,2014-11-23 06:07:55,11.26,-21.5,247.81,76.83,-16.67,62.17,7.85,-2.83,-5.16
sensors/imu,2014-11-23 06:07:55,11.26,-22.53,247.81,76.5,-16.33,62.0,7.85,-2.8,-5.14
sensors/imu,2014-11-23 06:07:55,12.29,-21.5,250.88,77.17,-16.67,62.33,7.85,-2.78,-5.15
sensors/imu,2014-11-23 06:07:55,11.26,-22.53,247.81,76.83,-16.67,62.0,7.85,-2.78,-5.12
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,249.86,77.33,-16.67,62.33,7.85,-2.76,-5.13
sensors/imu,2014-11-23 06:07:55,12.29,-21.5,246.78,76.67,-16.5,62.17,7.85,-2.77,-5.14
sensors/imu,2014-11-23 06:07:55,12.29,-21.5,250.88,76.83,-16.67,62.0,7.85,-2.77,-5.12
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,248.83,76.83,-16.67,62.0,7.85,-2.78,-5.1
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,249.86,77.0,-16.33,62.33,7.85,-2.78,-5.1
sensors/imu,2014-11-23 06:07:55,12.29,-22.53,248.83,76.83,-16.67,61.67,7.85,-2.78,-5.11
sensors/imu,2014-11-23 06:07:55,12.29,-23.55,247.81,77.17,-16.5,62.17,7.85,-2.79,-5.12
sensors/imu,2014-11-23 06:07:55,11.26,-21.5,247.81,77.17,-16.33,62.0,7.85,-2.79,-5.14
sensors/imu,2014-11-23 06:07:55,12.29,-21.5,248.83,77.0,-16.17,62.0,7.85,-2.77,-5.13
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,247.81,77.0,-16.67,62.17,7.84,-2.77,-5.11
sensors/imu,2014-11-23 06:07:56,11.26,-22.53,251.9,76.67,-16.33,62.17,7.84,-2.78,-5.14
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,77.0,-16.5,61.83,7.84,-2.75,-5.14
sensors/imu,2014-11-23 06:07:56,12.29,-21.5,249.86,77.33,-16.83,61.83,7.84,-2.76,-5.13
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,77.33,-16.67,62.5,7.84,-2.76,-5.11
sensors/imu,2014-11-23 06:07:56,13.31,-22.53,249.86,76.83,-16.5,62.0,7.85,-2.77,-5.14
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,250.88,77.17,-17.0,61.83,7.84,-2.77,-5.11
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,248.83,77.17,-16.5,62.33,7.85,-2.8,-5.14
sensors/imu,2014-11-23 06:07:56,11.26,-22.53,250.88,76.83,-16.5,61.83,7.85,-2.8,-5.17
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,248.83,76.83,-16.67,62.17,7.85,-2.77,-5.17
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,77.0,-16.5,61.83,7.85,-2.78,-5.19
sensors/imu,2014-11-23 06:07:56,13.31,-22.53,249.86,76.83,-16.67,62.67,7.85,-2.78,-5.19
sensors/imu,2014-11-23 06:07:56,11.26,-22.53,250.88,77.33,-16.67,62.17,7.85,-2.81,-5.18
sensors/imu,2014-11-23 06:07:56,13.31,-22.53,250.88,77.17,-16.83,62.17,7.85,-2.78,-5.18
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,249.86,77.17,-16.33,61.83,7.85,-2.81,-5.17
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,247.81,77.0,-17.0,62.17,7.85,-2.81,-5.17
sensors/imu,2014-11-23 06:07:56,13.31,-23.55,248.83,77.33,-16.5,62.33,7.86,-2.81,-5.18
sensors/imu,2014-11-23 06:07:56,12.29,-21.5,248.83,77.0,-16.5,61.83,7.86,-2.83,-5.2
sensors/imu,2014-11-23 06:07:56,11.26,-23.55,249.86,76.83,-16.83,62.17,7.85,-2.83,-5.17
sensors/imu,2014-11-23 06:07:56,11.26,-23.55,250.88,77.0,-16.33,62.0,7.86,-2.8,-5.19
sensors/imu,2014-11-23 06:07:56,13.31,-22.53,250.88,77.17,-16.33,62.17,7.86,-2.78,-5.21
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,249.86,77.0,-16.67,62.17,7.85,-2.8,-5.2
sensors/imu,2014-11-23 06:07:56,13.31,-21.5,249.86,77.33,-16.5,62.0,7.85,-2.8,-5.2
sensors/imu,2014-11-23 06:07:56,13.31,-22.53,248.83,77.17,-16.33,62.0,7.85,-2.82,-5.17
sensors/imu,2014-11-23 06:07:56,14.34,-23.55,248.83,77.0,-16.33,61.83,7.84,-2.85,-5.17
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,248.83,77.17,-16.67,61.5,7.84,-2.89,-5.2
sensors/imu,2014-11-23 06:07:56,11.26,-22.53,249.86,77.0,-16.83,61.67,7.84,-2.88,-5.22
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,247.81,77.0,-16.5,62.33,7.84,-2.88,-5.22
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,249.86,77.0,-16.5,62.0,7.84,-2.84,-5.21
sensors/imu,2014-11-23 06:07:56,12.29,-21.5,248.83,77.17,-16.67,61.67,7.84,-2.84,-5.2
sensors/imu,2014-11-23 06:07:56,12.29,-23.55,250.88,76.33,-16.5,62.0,7.84,-2.84,-5.18
sensors/imu,2014-11-23 06:07:56,12.29,-22.53,250.88,76.67,-16.83,61.83,7.84,-2.83,-5.2
